goos: darwin
goarch: arm64
pkg: github.com/rbaliyan/mailbox
cpu: Apple M4
BenchmarkInbox/depth=1000/limit=50-10                   	      20	   1306944 ns/op	   59048 B/op	     323 allocs/op
BenchmarkInbox/depth=1000/limit=50-10                   	      20	    664388 ns/op	   59048 B/op	     323 allocs/op
BenchmarkInbox/depth=1000/limit=50-10                   	      20	    832025 ns/op	   59048 B/op	     323 allocs/op
BenchmarkInbox/depth=1000/limit=50-10                   	      20	    733442 ns/op	   59048 B/op	     323 allocs/op
BenchmarkInbox/depth=1000/limit=50-10                   	      20	    585735 ns/op	   59048 B/op	     323 allocs/op
BenchmarkInbox/depth=1000/limit=50-10                   	      20	    579781 ns/op	   59048 B/op	     323 allocs/op
BenchmarkInbox/depth=1000/limit=100-10                  	      20	    639910 ns/op	  100040 B/op	     623 allocs/op
BenchmarkInbox/depth=1000/limit=100-10                  	      20	    611881 ns/op	  100040 B/op	     623 allocs/op
BenchmarkInbox/depth=1000/limit=100-10                  	      20	    686173 ns/op	  100040 B/op	     623 allocs/op
BenchmarkInbox/depth=1000/limit=100-10                  	      20	    663829 ns/op	  100040 B/op	     623 allocs/op
BenchmarkInbox/depth=1000/limit=100-10                  	      20	    662271 ns/op	  100040 B/op	     623 allocs/op
BenchmarkInbox/depth=1000/limit=100-10                  	      20	    682340 ns/op	  100040 B/op	     623 allocs/op
BenchmarkSearch/depth=100-10                            	      20	    168275 ns/op	   37240 B/op	     539 allocs/op
BenchmarkSearch/depth=100-10                            	      20	    132829 ns/op	   37240 B/op	     539 allocs/op
BenchmarkSearch/depth=100-10                            	      20	    146548 ns/op	   37240 B/op	     539 allocs/op
BenchmarkSearch/depth=100-10                            	      20	    139565 ns/op	   37240 B/op	     539 allocs/op
BenchmarkSearch/depth=100-10                            	      20	    128479 ns/op	   37240 B/op	     539 allocs/op
BenchmarkSearch/depth=100-10                            	      20	    154744 ns/op	   37240 B/op	     539 allocs/op
BenchmarkSearch/depth=1000-10                           	      20	  14218217 ns/op	  225016 B/op	    4143 allocs/op
BenchmarkSearch/depth=1000-10                           	      20	  12161942 ns/op	  225016 B/op	    4143 allocs/op
BenchmarkSearch/depth=1000-10                           	      20	  13833885 ns/op	  225016 B/op	    4143 allocs/op
BenchmarkSearch/depth=1000-10                           	      20	  11290604 ns/op	  225016 B/op	    4143 allocs/op
BenchmarkSearch/depth=1000-10                           	      20	  10821510 ns/op	  225016 B/op	    4143 allocs/op
BenchmarkSearch/depth=1000-10                           	      20	  10721229 ns/op	  225016 B/op	    4143 allocs/op
BenchmarkMarkRead-10                                    	      20	      4481 ns/op	    3499 B/op	      35 allocs/op
BenchmarkMarkRead-10                                    	      20	      2744 ns/op	    3376 B/op	      33 allocs/op
BenchmarkMarkRead-10                                    	      20	      2475 ns/op	    3375 B/op	      33 allocs/op
BenchmarkMarkRead-10                                    	      20	      2552 ns/op	    3376 B/op	      33 allocs/op
BenchmarkMarkRead-10                                    	      20	      2598 ns/op	    3376 B/op	      33 allocs/op
BenchmarkMarkRead-10                                    	      20	      2835 ns/op	    3376 B/op	      33 allocs/op
BenchmarkMarkAllRead/messages=10-10                     	      20	      3192 ns/op	     817 B/op	       9 allocs/op
BenchmarkMarkAllRead/messages=10-10                     	      20	      1169 ns/op	     676 B/op	       7 allocs/op
BenchmarkMarkAllRead/messages=10-10                     	      20	      1125 ns/op	     676 B/op	       7 allocs/op
BenchmarkMarkAllRead/messages=10-10                     	      20	      1058 ns/op	     676 B/op	       7 allocs/op
BenchmarkMarkAllRead/messages=10-10                     	      20	       923.0 ns/op	     668 B/op	       7 allocs/op
